,scores,logFC,PValue,FDR
HLA-DPB1,0.8154023,0.3242901,0.4148420674077301,0.7461188262728958
PTEN,0.7852786,1.1330869,0.4322902234557459,0.7644882617925357
EOMES,0.7836271,0.3525788,0.4332589421350007,0.7644882617925357
CCL2,0.78262633,0.8174645,0.433846587241335,0.7644882617925357
CD274,0.77677053,0.38354412,0.4372941657107385,0.7644882617925357
LYZ,0.7373986,,0.4608799722272199,0.7942158308803469
PIK3CA,0.7299668,-8.373841,0.4654104768958833,0.7942158308803469
BRAF,0.7221018,,0.4702318869711229,0.7970031982561406
DUSP6,0.71879876,0.6198764,0.4722649119416709,0.797744783685255
CCR2,0.6904395,0.10075075,0.4899178373795881,0.8138170056139338
TP53,0.6402852,0.34874716,0.5219872117182189,0.8403050033268135
SOD2,0.6398755,-0.160636,0.5222535591332262,0.8403050033268135
CR2,0.6064646,,0.5442062651720593,0.8610858626140179
ATR,0.59629613,2.1231272,0.5509774129372393,0.8663166870082379
VEGFB,0.5752685,,0.565109733591057,0.882399541538031
CD19,0.573213,,0.5665005056674159,0.882399541538031
SMAD2,0.53419113,-0.55323493,0.5932092914470787,0.9084023447345368
PROK2,0.52323747,0.4691634,0.6008089948354464,0.9084023447345368
CD22,0.5217674,0.42723343,0.6018323163554721,0.9084023447345368
AXIN2,0.517513,0.259307,0.6047980984629582,0.9084023447345368
FZD7,0.5025663,0.887108,0.6152692475515171,0.9183123097783836
CDH5,0.46736312,,0.6402401113880957,0.941529575570729
NF1,0.45776224,0.49247846,0.6471232617368682,0.9488610875907157
PDK1,0.43672636,-0.11511401,0.6623098170417323,0.9506941704873956
BCL2,0.4295501,0.11118464,0.6675229270731967,0.9506941704873956
IFNGR1,0.42866158,-0.18866973,0.6681695278375986,0.9506941704873956
DNMT1,0.42114857,0.35879007,0.6736465941430418,0.9506941704873956
STAP1,0.4198275,2.2913628,0.6746114828178721,0.9506941704873956
TCF7L2,0.41930553,-0.73448944,0.6749928610460509,0.9506941704873956
CD226,0.3741305,0.25644705,0.7083072447775765,0.970154634446055
CSF2,0.3735286,1.0341128,0.7087550632549872,0.970154634446055
CXCL11,0.369377,0.67663455,0.7118467549400264,0.970154634446055
HLA-DQA1,0.34732315,0.49489552,0.7283485574483045,0.97802776471848
TMEM59,0.34392878,3.0596347,0.730899836150368,0.97802776471848
CXCL9,0.3202577,0.35272872,0.7487729839974004,0.9836746259404876
IRS1,0.31604964,-0.2196339,0.7519648336218855,0.9836746259404876
LGR6,0.28936917,0.6905827,0.7722988947384207,0.9836746259404876
IL23A,0.28755465,0.26504242,0.7736876660340908,0.9836746259404876
FCER2,0.2791106,0.25835192,0.780159944043958,0.9836746259404876
CASP8,0.2758748,0.39245218,0.7826442282172975,0.9836746259404876
CMKLR1,0.2665378,0.3122325,0.7898250700642733,0.9836746259404876
CLDN5,0.2612896,1.4577616,0.7938691985827268,0.9836746259404876
MLH1,0.2533732,0.49388215,0.7999798225228549,0.9836746259404876
APC,0.25003847,0.69658667,0.8025575954468477,0.9836746259404876
ENG,0.24849921,0.07272979,0.803748176893043,0.9836746259404876
HDAC1,0.24644053,-0.116119534,0.8053412359082992,0.9836746259404876
IDO1,0.24263392,-0.18149473,0.808288998367395,0.9836746259404876
TNFRSF13B,0.22647075,0.6047125,0.8208352983381539,0.9836746259404876
MYH11,0.22248974,0.86781937,0.8239326556960433,0.9836746259404876
TNFRSF17,0.21798106,0.29997873,0.8274438716657714,0.9836746259404876
CEACAM8,0.21121073,1.8487145,0.832722838910519,0.9836746259404876
TGM2,0.20724684,0.7901087,0.8358170901103382,0.9836746259404876
CXCL10,0.20483807,0.8577625,0.8376986498430052,0.9836746259404876
SNAI1,0.19798592,0.39464855,0.8430560810438663,0.9836746259404876
CTSG,0.19055663,1.5461516,0.8488729682400875,0.9836746259404876
IFNAR1,0.1564862,-0.28609592,0.8756498009940403,0.9836746259404876
CSF3,0.15423977,0.12882589,0.8774206798425341,0.9836746259404876
ROR1,0.14689992,0.094189964,0.8832110163456782,0.9836746259404876
FGFR1,0.14430912,-0.19562535,0.8852563778713132,0.9836746259404876
PTGDR2,0.1408488,0.13847788,0.8879893904086108,0.9836746259404876
VEGFC,0.13916938,0.19511181,0.8893163054001897,0.9836746259404876
IDO2,0.12937889,0.5007126,0.8970578557764795,0.9836746259404876
MSH2,0.12605049,1.3271946,0.8996919635526809,0.9836746259404876
TNFSF9,0.12378504,0.2820817,0.9014854772790052,0.9836746259404876
FGF1,0.12374064,0.16680524,0.9015206295794924,0.9836746259404876
CCL8,0.1216604,0.5691855,0.9031679812965104,0.9836746259404876
XCL1,0.1195218,0.27578616,0.904861973830156,0.9836746259404876
CCL17,0.11794892,0.12519254,0.9061081288893348,0.9836746259404876
TCL1A,0.1069997,,0.9147892152997306,0.9836746259404876
HGF,0.09054543,0.116966285,0.9278537937195108,0.9836746259404876
TLR1,0.088524796,-0.75773704,0.929459576283858,0.9836746259404876
IL13,0.08220731,0.14480664,0.9344818641411528,0.9836746259404876
CD68,0.07862141,0.2402415,0.9373337570000614,0.9836746259404876
CSF1R,0.076080084,0.61530906,0.9393553876488226,0.9836746259404876
CCR10,0.07418439,0.19776003,0.9408636673798922,0.9836746259404876
RB1,0.07234641,-0.8150348,0.9423262301761705,0.9836746259404876
IGF1,0.07166272,-0.30042538,0.942870325166248,0.9836746259404876
TGFBR3,0.06926599,2.7472496,0.9447778948516884,0.9836746259404876
WNT3A,0.067360155,0.20878574,0.9462949901547492,0.9836746259404876
CLEC4C,0.049305104,0.41296345,0.9606761529018272,0.9863204855254898
MSH6,0.03853283,-0.21512637,0.969262855356477,0.9887182161581152
IGF1R,0.03570737,-0.069488406,0.9715156944050936,0.9887182161581152
FAP,0.03265232,0.13817132,0.9739518476364394,0.9887182161581152
RET,0.030663397,0.053786967,0.9755379826853554,0.9887182161581152
CCR6,0.017579384,-0.06959811,0.9859744038141584,0.991925959571588
CCL11,0.011093822,0.1831354,0.9911485918093662,0.9951291082423356
MUC2,-0.00081687875,0.10841386,0.9993482251124418,0.9993482251124418
PDGFB,-0.0021087902,0.52578807,0.9983174300186858,0.9993482251124418
CLEC14A,-0.017911082,-0.13797317,0.9857097884130536,0.991925959571588
CXCL5,-0.019677391,-0.6619165,0.9843007259348842,0.991925959571588
MMRN2,-0.029013783,-0.23482423,0.976853597564218,0.9887182161581152
VCAM1,-0.029221175,0.19081867,0.976688193774016,0.9887182161581152
BTLA,-0.03158302,0.78680974,0.9748045851349711,0.9887182161581152
EPHB4,-0.05025707,-0.11286449,0.95991753277683,0.9863204855254898
HLA-DPA1,-0.051660605,0.016117502,0.9587991272659308,0.9863204855254898
KDR,-0.058614224,-0.24846691,0.9532593818549244,0.9847720886931036
CCL7,-0.05928523,0.10735744,0.9527249247358752,0.9847720886931036
IL6,-0.06431969,0.25591907,0.9487156756129124,0.9841448917146394
CA7,-0.072040714,1.1694851,0.9425695049588037,0.9836746259404876
TGFB2,-0.07602871,0.20871021,0.9393962582277056,0.9836746259404876
IL12A,-0.08257198,0.12834805,0.9341918790676697,0.9836746259404876
IFNB1,-0.094411016,0.28453812,0.9247826640112872,0.9836746259404876
CD1E,-0.09495898,0.34013686,0.92434740400245,0.9836746259404876
SRPRB,-0.09683248,-0.4125932,0.9228594299687564,0.9836746259404876
DES,-0.101991884,0.29299715,0.9187631194542903,0.9836746259404876
NOS3,-0.10238066,-0.15226388,0.9184545344471848,0.9836746259404876
