,scores,logFC,PValue,FDR
SNAI2,-0.5186843,0.055609625,0.6039808834669663,0.9998475906304526
CCR3,-0.52378994,0.60623187,0.600424646117954,0.9998475906304526
AURKA,-0.52700174,0.6614156,0.5981923671969863,0.9998475906304526
NEDD4,-0.53843004,0.28611106,0.5902802043933619,0.9998475906304526
MPO,-0.5501639,-0.9323217,0.5822069531886928,0.9998475906304526
ITGA5,-0.5504941,0.16235179,0.5819805235115154,0.9998475906304526
TNFRSF17,-0.5584322,-0.20104463,0.5765492819775281,0.9998475906304526
CLEC14A,-0.56228805,,0.57391979744007,0.9998475906304526
LAMP3,-0.59313995,0.053342793,0.5530874844530428,0.9998475906304526
DNMT3A,-0.5984257,,0.5495559377535472,0.9998475906304526
EPHB3,-0.60061145,0.15771747,0.5480988071366892,0.9998475906304526
EGFR,-0.6151478,0.0155888125,0.5384570947009139,0.9998475906304526
CD8B,-0.6229031,,0.5333481896798061,0.9998475906304526
SOX9,-0.6442315,0.107220694,0.5194253214559343,0.9998475906304526
SOX2,-0.6583176,0.06566527,0.5103340484613083,0.9998475906304526
LOX,-0.66098917,0.32926273,0.5086192770488646,0.9998475906304526
NF1,-0.66441923,-1.1347675,0.5064220104962348,0.9998475906304526
MMP11,-0.66547805,,0.5057447866605602,0.9998475906304526
VWF,-0.66817135,0.38518897,0.5040242059022599,0.9998475906304526
TEAD1,-0.6776294,0.08280957,0.4980066778063526,0.9998475906304526
MET,-0.67895836,0.051834486,0.4971642418352963,0.9998475906304526
MAFB,-0.6808194,0.15086211,0.4959857627053796,0.9998475906304526
PLA2G2A,-0.6951948,-0.89984185,0.4869332329883376,0.9998475906304526
TGFB3,-0.69520843,-0.4702818,0.4869246835964794,0.9998475906304526
LRP6,-0.6996755,,0.4841299770631717,0.9998475906304526
IL23A,-0.7270728,-1.0301031,0.4671813758081029,0.9998475906304526
ACKR3,-0.746753,0.042692706,0.4552126923386288,0.9998475906304526
ICAM3,-0.7896062,-0.1968053,0.429757772631894,0.9998475906304526
LDHA,-0.7979182,0.07532486,0.4249179704083945,0.9998475906304526
PLVAP,-0.80666673,0.26641834,0.4198585031120621,0.9998475906304526
EZH2,-0.80894804,,0.4185450340861767,0.9998475906304526
NRAS,-0.8445181,0.16310333,0.39837995276761,0.9998475906304526
TGFBR3,-0.8557008,0.1715952,0.3921633134169634,0.9998475906304526
TEAD4,-0.86722183,0.38904318,0.3858204860312685,0.9998475906304526
FOXM1,-0.87005156,0.12448994,0.3842722103134773,0.9998475906304526
SOCS3,-0.8896417,-1.0166796,0.3736582908456861,0.9998475906304526
CXCL8,-0.9327542,0.14517926,0.3509468793498808,0.9998475906304526
AKT1,-0.9330544,0.35537526,0.3507918832393777,0.9998475906304526
ATF3,-0.93379116,0.09113762,0.3504116222646442,0.9998475906304526
BIRC5,-0.99234873,0.29343826,0.3210274321030265,0.9728104003122016
LAMB3,-1.0061238,0.032073446,0.3143560273844099,0.9642822925902144
WWTR1,-1.0091583,0.12337533,0.3128987572887683,0.9642822925902144
CCR2,-1.0168808,-0.516589,0.3092101556961089,0.9642822925902144
MMRN2,-1.0354148,-0.43661985,0.3004752125827699,0.9628163837453017
ERBB3,-1.055136,0.2333917,0.2913631412601477,0.95843138572417
CD276,-1.0587653,0.059691627,0.289706683288635,0.95843138572417
FCGR2A,-1.0749962,-1.3402871,0.2823764002258126,0.9427948984405654
CAV1,-1.0861162,-1.0033493,0.277427597747367,0.9372553977951588
TGFBI,-1.1131369,0.6811346,0.2656496521767895,0.9035702454992844
MMP1,-1.114171,,0.2652057969198623,0.9035702454992844
LRP5,-1.1477273,0.31322747,0.2510811641805578,0.8657971178639924
CDH1,-1.1532367,0.01518541,0.2488132213111304,0.8639347962192031
TNC,-1.2188619,0.116238885,0.2228965947226977,0.7856134083458786
ICAM2,-1.238392,-0.22703476,0.215570726113947,0.7780313056296623
WNT5A,-1.2771275,0.41470203,0.2015572253658396,0.7356103115541592
EGR1,-1.277264,0.20983605,0.2015090675526215,0.7356103115541592
BMP1,-1.312351,,0.1894017196597391,0.7120365400742072
JUN,-1.3362254,0.020521529,0.1814756082947561,0.6926549934914357
LMNA,-1.417675,0.1789671,0.1562856778393071,0.6152979442492406
IDH1,-1.4657239,0.105227076,0.1427235211106545,0.5754980689945746
ERBB2,-1.4708186,0.17899781,0.1413401839965283,0.5745535934818227
MUC1,-1.4797527,0.08636954,0.1389392510307615,0.5694231599621375
CDK4,-1.4886622,0.48531112,0.1365763203313182,0.5643649600467695
CDKN1A,-1.5064241,0.31938562,0.1319583318003396,0.549826382501415
VSIR,-1.5129378,-0.41138127,0.1302954598583117,0.549826382501415
IRS1,-1.570041,-0.46888068,0.1164055939333972,0.5105508505850757
CSF1,-1.578915,0.5768146,0.1143555535152505,0.5098680788035372
YAP1,-1.6402451,0.031838447,0.1009542260421522,0.4717487198231415
SRC,-1.665099,0.3440575,0.0958929930494324,0.4595568062624889
GZMB,-1.6714954,-1.2828506,0.094623866423742,0.4593391573968061
LRP1,-1.7106948,0.91769177,0.0871374717192523,0.4271444692120214
TMEM37,-1.75056,-1.479212,0.0800217320749097,0.4041233918647646
LAMC2,-1.7941009,0.06541329,0.0727970638271226,0.3752852483769728
CDKN1B,-1.84412,-0.33993536,0.0651656496605259,0.3466257960666275
POU2AF1,-1.8873007,-0.14357582,0.0591198863434966,0.3178488513091217
TP63,-1.9439918,0.03199159,0.0518964390152173,0.2820458642131379
CSF3R,-2.0415769,0.179316,0.0411935243142557,0.2342681610678327
CD248,-2.1768658,,0.0294905766660829,0.179820589427335
CXCL1,-2.4103158,0.112296194,0.0159387214574482,0.0983871694904211
PDGFRB,-2.4137022,1.1777112,0.0157913647223687,0.0983871694904211
FGFR3,-2.4164119,0.03340597,0.0156743199158337,0.0983871694904211
JUNB,-2.4587848,0.290803,0.0139408130061033,0.0917158750401534
FCGR3A,-2.4953864,0.5559585,0.0125820030408808,0.0838800202725388
SPP1,-2.7715912,0.64407164,0.005578303042411,0.0387382155722988
SFRP2,-2.8049264,-0.43134055,0.0050328064124373,0.0354422986791359
NDUFA4L2,-2.9304626,0.056788046,0.003384576312788,0.0241755450913434
PGF,-2.9924667,0.053300224,0.0027673280784593,0.0203480005769069
PKM,-3.0666277,0.017180901,0.0021648833641224,0.0164006315463825
INSR,-3.3059034,-0.5078399,0.0009467067883357,0.0076347321639977
COL4A1,-3.3275976,0.61085284,0.0008759830629651,0.0071801890406976
IRF4,-3.4142756,-0.7301345,0.000639518618345,0.0054196493080087
SERPINE1,-3.4355547,0.36068735,0.0005913418042525,0.0050977741745909
PIK3CG,-3.4548557,-0.48011053,0.0005505873994562,0.0049159589237166
CDK6,-3.5491853,-2.160354,0.0003864250940599,0.0035780101301848
CEBPB,-3.6476352,0.32501188,0.0002646649082275,0.0024968387568637
PECAM1,-4.059806,-0.22168869,4.9113510832125056e-05,0.0004911351083212
FOS,-4.1660085,0.111066625,3.09979019758195e-05,0.0003163051222022
COL5A1,-5.4193463,,5.981733417185115e-08,7.477166771481393e-07
ACTA2,-5.718326,-1.7789068,1.0757868014105246e-08,1.466918038615464e-07
SERPINA1,-5.7731967,0.117073275,7.778149654000205e-09,1.1785075233333645e-07
BCL2L1,-5.9495955,-2.4133785,2.6880614085238356e-09,4.200095950818494e-08
DERL3,-6.386617,-0.96807665,1.695953373656091e-10,3.1406543956594277e-09
PDK1,-6.603337,-0.5750062,4.0200477752838555e-11,7.730861106315105e-10
MZB1,-9.099744,-0.8096138,9.054516404195e-20,3.2337558586410723e-18
FN1,-9.191464,,3.875284055840945e-20,1.4904938676311328e-18
VEGFA,-9.514056,0.073741846,1.8336917682663362e-21,7.6403823677764e-20
S100A9,-9.970898,0.02402256,2.043729042657134e-23,9.289677466623337e-22
XBP1,-10.302825,-0.893877,6.842187249491792e-25,3.4210936247458956e-23
FCRL5,-11.055527,-1.2555343,2.0612315281046127e-28,1.472308234360438e-26
COL1A1,-16.27949,-3.3362277,1.3801381325032505e-59,2.3002302208387507e-57
COL1A1,16.27949,3.3362277,1.3801381325032505e-59,2.3002302208387507e-57
