,scores,logFC,PValue,FDR
MSH3,-0.12763743,-0.10524255,0.8984359020034411,0.9998475906304526
FZD7,-0.13205811,-0.5729873,0.8949383265122862,0.9998475906304526
EPCAM,-0.13814336,0.041675754,0.890127115359507,0.9998475906304526
CD207,-0.13955688,0.45588526,0.8890101057887506,0.9998475906304526
NOS2,-0.14259405,0.0830823,0.8866107928121179,0.9998475906304526
SNAI1,-0.149105,-0.3071666,0.8814707806896058,0.9998475906304526
ADAMTS4,-0.15011193,-0.017118132,0.8806763067840239,0.9998475906304526
TWIST1,-0.150232,0.1142252,0.8805815807655142,0.9998475906304526
NKG7,-0.15048578,-0.1904838,0.8803813700322463,0.9998475906304526
LAG3,-0.15060039,-0.32812342,0.8802909547871975,0.9998475906304526
TGFB2,-0.15477547,,0.8769983298185208,0.9998475906304526
FFAR2,-0.15610985,0.48555803,0.8759464269156491,0.9998475906304526
CXCR2,-0.15729962,0.38864338,0.8750087186498618,0.9998475906304526
CA7,-0.1595045,,0.8732714122618074,0.9998475906304526
TSC1,-0.16378601,-0.098221906,0.8698996078959972,0.9998475906304526
ITGA1,-0.16829127,,0.866354137610686,0.9998475906304526
CD68,-0.16962293,-3.9918458,0.8653066844161422,0.9998475906304526
IFNB1,-0.17789942,-0.6116474,0.8588019656821426,0.9998475906304526
PDCD1LG2,-0.17800584,-0.22709604,0.858718385790439,0.9998475906304526
PLK1,-0.18018344,0.120371655,0.8570085615745864,0.9998475906304526
TEK,-0.18471599,,0.8534518018546746,0.9998475906304526
CCND1,-0.18504891,0.05573244,0.8531906753021241,0.9998475906304526
VEGFC,-0.18965787,-0.94344217,0.8495772360400987,0.9998475906304526
PKIB,-0.20448624,0.3096608,0.8379735490251263,0.9998475906304526
XCR1,-0.20450534,-0.097311586,0.8379586234562897,0.9998475906304526
CCL1,-0.20505655,,0.837527939322604,0.9998475906304526
CD14,-0.20553955,0.3943626,0.8371505976905238,0.9998475906304526
LGR5,-0.20669657,0.0055784187,0.8362468357737335,0.9998475906304526
IL5RA,-0.20751248,-1.3167938,0.835609642966785,0.9998475906304526
SMOC2,-0.21097262,,0.832908637654525,0.9998475906304526
MMP2,-0.21251713,-0.30750784,0.8317036182813103,0.9998475906304526
HRAS,-0.21684502,0.046021026,0.8283291246348204,0.9998475906304526
COL11A1,-0.21873608,-1.1605088,0.8268556355716911,0.9998475906304526
ANGPT2,-0.2211347,0.115416944,0.8249875418967848,0.9998475906304526
ARAF,-0.22332868,-0.2173137,0.8232797090569519,0.9998475906304526
BAK1,-0.22600564,0.16591688,0.8211970319932804,0.9998475906304526
IL12B,-0.23015344,-0.53768563,0.8179725432689501,0.9998475906304526
DES,-0.23206088,-1.5359652,0.8164907323311394,0.9998475906304526
PDK4,-0.24384661,-0.62310696,0.8073496177156155,0.9998475906304526
TLR9,-0.24596962,,0.8057057432079292,0.9998475906304526
PPARGC1A,-0.25464997,2.2780383,0.7989934539999575,0.9998475906304526
SLC26A3,-0.25509205,-0.677854,0.7986520072979701,0.9998475906304526
IDO1,-0.25576606,0.07835315,0.7981314805876489,0.9998475906304526
TMEM59,-0.2570295,-0.017817868,0.7971559983359149,0.9998475906304526
FGF2,-0.26105177,,0.7940525836261408,0.9998475906304526
IL1R2,-0.2638215,0.14309947,0.7919174553988609,0.9998475906304526
HAVCR2,-0.266433,0.5230226,0.7899057627048193,0.9998475906304526
CD1E,-0.27026424,,0.7869569750120818,0.9998475906304526
FOSL1,-0.28266943,0.14627838,0.7774302621263836,0.9998475906304526
FGFR2,-0.2845714,0.036462396,0.7759725260339664,0.9998475906304526
CDH5,-0.28563565,0.37700263,0.7751572069314868,0.9998475906304526
PDGFC,-0.29002357,,0.7717982100540522,0.9998475906304526
IDO2,-0.29210293,-0.7757237,0.7702079348400923,0.9998475906304526
MTOR,-0.29861933,-1.3944966,0.7652305213816832,0.9998475906304526
CSF2,-0.30051038,-3.4521763,0.7637878739514395,0.9998475906304526
IL1B,-0.3034684,0.6807766,0.7615329107435762,0.9998475906304526
IFNAR2,-0.30587795,-0.06404173,0.7596975671450731,0.9998475906304526
MUC2,-0.31100267,-1.6248627,0.755798592675251,0.9998475906304526
NCAM1,-0.3248896,-1.1929973,0.74526463462094,0.9998475906304526
