group,names,scores,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
in,ICOSLG,0.6199969,0.5070473,0.53525980652915361446,0.99984759063045269833,6.619559272716956762e-05
in,MMRN1,0.60914993,0.76195,0.5424250807936610297,0.99984759063045269833,6.619559272716956762e-05
in,CSF1R,0.58280593,-2.284098,0.56002393378841253124,0.99984759063045269833,6.619559272716956762e-05
in,ZBED2,0.569724,0.6282561,0.56886488598799200833,0.99984759063045269833,6.619559272716956762e-05
in,ATM,0.56307936,0.35596615,0.57338083314965337944,0.99984759063045269833,6.619559272716956762e-05
in,AXIN2,0.5486249,1.1865261,0.58326291993283763126,0.99984759063045269833,6.619559272716956762e-05
in,KLRG1,0.53105134,3.3044927,0.5953832198567591272,0.99984759063045269833,6.619559272716956762e-05
in,MAP2K1,0.5309667,-0.004588755,0.5954418399074896673,0.99984759063045269833,6.619559272716956762e-05
in,CDK2,0.5288492,0.453044,0.5969100892653973478,0.99984759063045269833,6.619559272716956762e-05
in,CTLA4,0.52800596,-1.6808691,0.5974951983483054452,0.99984759063045269833,6.619559272716956762e-05
in,SELP,0.52732104,-0.033377204,0.59797067293168559843,0.99984759063045269833,6.619559272716956762e-05
in,IFITM1,0.5249251,-1.6710349,0.5996352370172886026,0.99984759063045269833,6.619559272716956762e-05
in,RORC,0.5212467,-0.4032148,0.6021949293063417752,0.99984759063045269833,6.619559272716956762e-05
in,PRKCA,0.5195139,-1.0428759,0.60340242276255851017,0.99984759063045269833,6.619559272716956762e-05
in,RGMB,0.51726264,-0.152163,0.6049728373326377362,0.99984759063045269833,6.619559272716956762e-05
in,EPHB4,0.50430626,-0.018587321,0.61404619894373224653,0.99984759063045269833,6.619559272716956762e-05
in,GNLY,0.49320814,1.2142062,0.62186551654945843026,0.99984759063045269833,6.619559272716956762e-05
in,PCNA,0.49185467,-0.012791471,0.6228220896009244445,0.99984759063045269833,6.619559272716956762e-05
in,MSH2,0.4844132,-1.1917497,0.6280926561704998079,0.99984759063045269833,6.619559272716956762e-05
in,TNFRSF18,0.48145244,1.1096331,0.63019497836520366185,0.99984759063045269833,6.619559272716956762e-05
in,STAT4,0.47648054,0.17031567,0.63373206867564002565,0.99984759063045269833,6.619559272716956762e-05
in,RB1,0.47296584,5.7828245,0.63623755802252457414,0.99984759063045269833,6.619559272716956762e-05
in,C1QC,0.4623071,0.37828082,0.6438611152600599574,0.99984759063045269833,6.619559272716956762e-05
in,CCL3,0.45358035,2.0311632,0.6501308983943931974,0.99984759063045269833,6.619559272716956762e-05
in,CD80,0.44843927,0.80479866,0.6538362059254353431,0.99984759063045269833,6.619559272716956762e-05
in,STING1,0.44711307,-0.074340865,0.65479342444361132713,0.99984759063045269833,6.619559272716956762e-05
in,CD70,0.44164997,0.28785783,0.65874250624885122285,0.99984759063045269833,6.619559272716956762e-05
in,TNFRSF4,0.43227106,1.7251871,0.6655444176989981919,0.99984759063045269833,6.619559272716956762e-05
in,CD3G,0.41410264,1.9343114,0.6787989450420068849,0.99984759063045269833,6.619559272716956762e-05
in,CXCL11,0.40849766,0.99989575,0.68290835315044673415,0.99984759063045269833,6.619559272716956762e-05
in,IFNG,0.39455616,,0.6931704773535944941,0.99984759063045269833,6.619559272716956762e-05
in,ICAM1,0.37666333,0.17497654,0.7064238130680926542,0.99984759063045269833,6.619559272716956762e-05
in,PIK3CA,0.37557182,-2.07109,0.70723525041322843343,0.99984759063045269833,6.619559272716956762e-05
in,KLF2,0.37440935,0.52259487,0.7080997970220059834,0.99984759063045269833,6.619559272716956762e-05
in,CCR8,0.36821768,-2.628709,0.7127109404398910275,0.99984759063045269833,6.619559272716956762e-05
in,MUC4,0.3664876,2.5193615,0.71400126589249424125,0.99984759063045269833,6.619559272716956762e-05
in,EOMES,0.36556527,,0.7146895027698598746,0.99984759063045269833,6.619559272716956762e-05
in,ICOS,0.36220065,0.8419527,0.7172021058538137206,0.99984759063045269833,6.619559272716956762e-05
in,BUB1,0.35107526,-0.67250544,0.7255318812599402811,0.99984759063045269833,6.619559272716956762e-05
in,TBX21,0.34330088,0.12601636,0.7313721157349774016,0.99984759063045269833,6.619559272716956762e-05
in,IL6,0.33833718,1.3885664,0.7351091117045138734,0.99984759063045269833,6.619559272716956762e-05
in,FBLN1,0.33742303,0.28448412,0.7357980308443881068,0.99984759063045269833,6.619559272716956762e-05
in,IL12A,0.33503532,-0.09459709,0.7375984477550630025,0.99984759063045269833,6.619559272716956762e-05
in,TCL1A,0.33475152,0.7020607,0.7378125361481859823,0.99984759063045269833,6.619559272716956762e-05
in,FCER1A,0.33352083,0.6941028,0.73874117385303161853,0.99984759063045269833,6.619559272716956762e-05
in,AURKB,0.32978508,,0.7415623618564509689,0.99984759063045269833,6.619559272716956762e-05
in,CCL17,0.325771,0.5715431,0.74459762312616717406,0.99984759063045269833,6.619559272716956762e-05
in,SLC13A3,0.32361522,,0.74622935111386023976,0.99984759063045269833,6.619559272716956762e-05
in,CCR10,0.29944068,0.059327755,0.76460381655948339574,0.99984759063045269833,6.619559272716956762e-05
in,PROK2,0.2991023,-0.008400301,0.76486197531549049433,0.99984759063045269833,6.619559272716956762e-05
in,SMAD2,0.27383626,-0.015554635,0.7842104617246878906,0.99984759063045269833,6.619559272716956762e-05
