group,names,scores,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
out,CCR3,0.65776056,-0.45791492,0.51069200500064781956,0.83720000819778328527,0.077170776080780625295
out,FLT1,0.6536305,0.107508585,0.51334989175844314424,0.8388070126771947077,0.076337947359914947975
out,FABP2,0.6462234,3.0268915,0.51813468089885594825,0.840305003326813571,0.07556305058177553411
out,CCL3,0.6419817,0.8219878,0.52088504641995880817,0.840305003326813571,0.07556305058177553411
out,FLI1,0.63923556,0.831909,0.5226697120692780363,0.840305003326813571,0.07556305058177553411
out,MUC4,0.63660926,0.08557067,0.52437941236717122706,0.8403516223832872001,0.0755389571427309327
out,FGFBP2,0.6316953,0.5760743,0.5275860183392628855,0.84043451891975284873,0.07549611825026219376
out,FOSL1,0.63137877,-0.13131578,0.5277928778816047828,0.84043451891975284873,0.07549611825026219376
out,SMO,0.62689865,-0.20573938,0.530725675059358748,0.8424217064434266211,0.074470451334500570066
out,CHEK1,0.60298973,-0.2234294,0.54651552776273404355,0.86201187344279817104,0.064486752115919801185
out,ADAMTS4,0.58435374,-0.59723914,0.55898235535329177104,0.8761478924032786164,0.05742257941012837162
out,ELANE,0.5630832,-0.37782812,0.57337825608533043997,0.8903389069647987819,0.050444647952711568135
out,CCL5,0.5585941,0.049502127,0.57643874369775915945,0.8923200366838376363,0.049479354998394679432
out,MTOR,0.54787326,0.64758754,0.5837789477645400904,0.8991837337443080447,0.046151558101732264746
out,CXCR1,0.54686797,-0.43053806,0.58446942693380021794,0.8991837337443080447,0.046151558101732264746
out,SIGLEC1,0.52622277,-0.39651743,0.59873343051344896093,0.9084023447345369595,0.04172175346600043103
out,DDIT3,0.52431506,0.012678694,0.60005944130075317133,0.9084023447345369595,0.04172175346600043103
out,DIABLO,0.5184688,0.08659861,0.60413124366013248867,0.9084023447345369595,0.04172175346600043103
out,ANGPT2,0.5172295,-0.26682633,0.604995961593201681,0.9084023447345369595,0.04172175346600043103
out,LGR5,0.51238465,-0.054473042,0.60838181591861839603,0.9107512214350573787,0.0406002376406446636
out,CIITA,0.4958137,-0.25983933,0.6200258557761330058,0.9226575234763882971,0.03495947260917588645
out,CD163,0.49135005,0.17755722,0.6231788902691972609,0.92459776004331928334,0.034047163030756115708
out,MMP2,0.48698342,0.07359781,0.6262700796320381791,0.9264350290414765654,0.03318503238195487882
out,KIT,0.47121412,-0.2412412,0.6374878439328106605,0.9402475574230244604,0.026757786115167072142
out,SMOC2,0.4497742,1.202703,0.6528732535883785548,0.95069417048739568443,0.021959169109831206461
out,SLC13A3,0.44363177,,0.65730883498683034816,0.95069417048739568443,0.021959169109831206461
out,CLCA1,0.44333938,2.0574358,0.65752026874589297734,0.95069417048739568443,0.021959169109831206461
out,IL5RA,0.44161305,0.57889855,0.6587692492818256751,0.95069417048739568443,0.021959169109831206461
out,TGFBR1,0.43939325,-0.1846595,0.6603766119387159961,0.95069417048739568443,0.021959169109831206461
out,PREX2,0.43715826,0.28898963,0.6619965811814051415,0.95069417048739568443,0.021959169109831206461
out,BAK1,0.42491713,-0.18336181,0.67089709067614167193,0.95069417048739568443,0.021959169109831206461
out,CD160,0.42103377,-0.3064859,0.67373041581453629867,0.95069417048739568443,0.021959169109831206461
out,NCAM1,0.40914655,0.7794972,0.6824321209348085393,0.9584720799646188061,0.018420533483785492892
out,MRC1,0.40306562,1.1636039,0.6868999534625364056,0.96204475274865042245,0.016804724823185598169
out,CD209,0.39669675,0.48451433,0.6915910944740357724,0.96590934982407239406,0.015063630021884422592
out,KLRC1,0.39097288,0.05964483,0.69581727171534368814,0.9690825710315132957,0.013639217154013166717
out,IL22,0.3869164,1.6803081,0.6988180950173479289,0.9690825710315132957,0.013639217154013166717
out,CCL28,0.3851983,-0.3366845,0.70009050504466574516,0.9690825710315132957,0.013639217154013166717
out,TLR2,0.38314024,-0.37089288,0.7016157814268155768,0.9690825710315132957,0.013639217154013166717
out,MMP1,0.37778488,,0.70559041544086786857,0.97015463444605509746,0.013159037347951485342
out,TEK,0.3690459,-0.21162704,0.71209350168340446174,0.97015463444605509746,0.013159037347951485342
out,IL12B,0.3643235,0.23307712,0.7156164589788223118,0.9723049714386172715,0.012197493675424844079
out,CCNE1,0.3499831,,0.7263513925639648594,0.97802776471847996387,0.0096488160785838454914
out,SLC26A3,0.34935647,,0.72682170707758564365,0.97802776471847996387,0.0096488160785838454914
out,VWF,0.3447869,-0.09607128,0.73025458354247752,0.97802776471847996387,0.0096488160785838454914
out,ESCO2,0.34280622,2.2110093,0.7317442456777188964,0.97802776471847996387,0.0096488160785838454914
out,KIR2DL4,0.33865586,0.6442109,0.73486899038128439265,0.97802776471847996387,0.0096488160785838454914
out,CDK2,0.33784914,,0.7354768790682969515,0.97802776471847996387,0.0096488160785838454914
out,BUB1,0.33265167,0.100742914,0.73939722632998083895,0.9806329261670833075,0.008493528780431953293
out,PAX5,0.33000952,-0.18018448,0.74139277601608477575,0.9806782751535513265,0.00847344546619481005
out,IL4,0.32270643,3.2916167,0.7469175770047773444,0.9836746259404877124,0.0071485311688227621717
out,PRTN3,0.31164813,-0.6833663,0.75530795170216991075,0.9836746259404877124,0.0071485311688227621717
out,FGF2,0.30911,,0.7572378742246406169,0.9836746259404877124,0.0071485311688227621717
